# Time [s]	V
0.0050	2.76909
0.0100	0.96914
0.0150	0.63390
0.0200	0.51829
0.0250	0.46222
0.0300	0.42751
0.0350	0.40201
0.0400	0.38111
0.0450	0.36288
0.0500	0.34642
0.0550	0.33128
0.0600	0.31723
0.0650	0.30413
0.0700	0.29190
0.0750	0.28047
0.0800	0.26980
0.0850	0.25984
0.0900	0.25055
0.0950	0.24188
0.1000	0.23382
0.1050	0.22632
0.1100	0.21934
0.1150	0.21287
0.1200	0.20685
0.1250	0.20127
0.1300	0.19610
0.1350	0.19131
0.1400	0.18687
0.1450	0.18276
0.1500	0.17896
0.1550	0.17545
0.1600	0.17219
0.1650	0.16919
0.1700	0.16641
0.1750	0.16384
0.1800	0.16147
0.1850	0.15928
0.1900	0.15725
0.1950	0.15538
0.2000	0.15365
0.2050	0.15205
0.2100	0.15057
0.2150	0.14921
0.2200	0.14794
0.2250	0.14677
0.2300	0.14568
0.2350	0.14467
0.2400	0.14374
0.2450	0.14287
0.2500	0.14206
0.2550	0.14131
0.2600	0.14060
0.2650	0.13994
0.2700	0.13932
0.2750	0.13874
0.2800	0.13819
0.2850	0.13768
0.2900	0.13719
0.2950	0.13672
0.3000	0.13627
0.3050	0.13585
0.3100	0.13544
0.3150	0.13505
0.3200	0.13467
0.3250	0.13430
0.3300	0.13394
0.3350	0.13359
0.3400	0.13324
0.3450	0.13291
0.3500	0.13257
0.3550	0.13224
0.3600	0.13191
0.3650	0.13159
0.3700	0.13126
0.3750	0.13093
0.3800	0.13061
0.3850	0.13028
0.3900	0.12995
0.3950	0.12962
0.4000	0.12928
0.4050	0.12894
0.4100	0.12860
0.4150	0.12826
0.4200	0.12791
0.4250	0.12755
0.4300	0.12719
0.4350	0.12683
0.4400	0.12646
0.4450	0.12608
0.4500	0.12570
0.4550	0.12531
0.4600	0.12492
0.4650	0.12452
0.4700	0.12411
0.4750	0.12370
0.4800	0.12328
0.4850	0.12286
0.4900	0.12243
0.4950	0.12199
0.5000	0.12155
0.5050	0.12110
0.5100	0.12064
0.5150	0.12018
0.5200	0.11971
0.5250	0.11923
0.5300	0.11875
0.5350	0.11826
0.5400	0.11776
0.5450	0.11726
0.5500	0.11675
0.5550	0.11624
0.5600	0.11571
0.5650	0.11519
0.5700	0.11465
0.5750	0.11411
0.5800	0.11356
0.5850	0.11301
0.5900	0.11244
0.5950	0.11188
0.6000	0.11130
0.6050	0.11072
0.6100	0.11014
0.6150	0.10955
0.6200	0.10895
0.6250	0.10834
0.6300	0.10773
0.6350	0.10712
0.6400	0.10649
0.6450	0.10586
0.6500	0.10523
0.6550	0.10459
0.6600	0.10394
0.6650	0.10329
0.6700	0.10263
0.6750	0.10197
0.6800	0.10130
0.6850	0.10062
0.6900	0.09994
0.6950	0.09925
0.7000	0.09856
0.7050	0.09786
0.7100	0.09715
0.7150	0.09644
0.7200	0.09573
0.7250	0.09501
0.7300	0.09428
0.7350	0.09355
0.7400	0.09281
0.7450	0.09206
0.7500	0.09132
0.7550	0.09056
0.7600	0.08980
0.7650	0.08903
0.7700	0.08826
0.7750	0.08749
0.7800	0.08671
0.7850	0.08592
0.7900	0.08513
0.7950	0.08433
0.8000	0.08353
0.8050	0.08272
0.8100	0.08190
0.8150	0.08108
0.8200	0.08026
0.8250	0.07943
0.8300	0.07860
0.8350	0.07776
0.8400	0.07691
0.8450	0.07606
0.8500	0.07521
0.8550	0.07435
0.8600	0.07348
0.8650	0.07261
0.8700	0.07173
0.8750	0.07085
0.8800	0.06997
0.8850	0.06908
0.8900	0.06818
0.8950	0.06728
0.9000	0.06637
0.9050	0.06546
0.9100	0.06454
0.9150	0.06362
0.9200	0.06269
0.9250	0.06176
0.9300	0.06083
0.9350	0.05988
0.9400	0.05894
0.9450	0.05798
0.9500	0.05703
0.9550	0.05607
0.9600	0.05510
0.9650	0.05413
0.9700	0.05315
0.9750	0.05217
0.9800	0.05118
0.9850	0.05019
0.9900	0.04919
0.9950	0.04819
1.0000	0.04718
