# Time [s]	V
0.000	4.65600
0.005	4.65599
0.010	4.65595
0.015	4.65588
0.020	4.65580
0.025	4.65569
0.030	4.65555
0.035	4.65540
0.040	4.65523
0.045	4.65504
0.050	4.65484
0.055	4.65464
0.060	4.65442
0.065	4.65421
0.070	4.65401
0.075	4.65381
0.080	4.65363
0.085	4.65348
0.090	4.65335
0.095	4.65327
0.100	4.65324
0.105	4.65328
0.110	4.65339
0.115	4.65360
0.120	4.65391
0.125	4.65435
0.130	4.65495
0.135	4.65571
0.140	4.65668
0.145	4.65789
0.150	4.65938
0.155	4.66119
0.160	4.66337
0.165	4.66599
0.170	4.66912
0.175	4.67285
0.180	4.67729
0.185	4.68257
0.190	4.68885
0.195	4.69633
0.200	4.70527
0.205	4.71598
0.210	4.72889
0.215	4.74455
0.220	4.76372
0.225	4.78743
0.230	4.81715
0.235	4.85507
0.240	4.90454
0.245	4.97099
0.250	5.06384
0.255	5.20100
0.260	5.42116
0.265	5.82626
0.270	6.80008
0.275	12.16097
0.280	-1.89024
0.285	2.14442
0.290	3.01248
0.295	3.38746
0.300	3.59405
0.305	3.72305
0.310	3.80983
0.315	3.87098
0.320	3.91532
0.325	3.94794
0.330	3.97199
0.335	3.98947
0.340	4.00170
0.345	4.00957
0.350	4.01363
0.355	4.01422
0.360	4.01147
0.365	4.00531
0.370	3.99549
0.375	3.98145
0.380	3.96227
0.385	3.93641
0.390	3.90131
0.395	3.85241
0.400	3.78107
0.405	3.66875
0.410	3.46743
0.415	3.00325
0.420	0.78385
0.425	7.95416
0.430	5.38188
0.435	4.88841
0.440	4.67755
0.445	4.55960
0.450	4.48353
0.455	4.42985
0.460	4.38954
0.465	4.35781
0.470	4.33191
0.475	4.31016
0.480	4.29144
0.485	4.27501
0.490	4.26036
0.495	4.24710
0.500	4.23496
0.505	4.22373
0.510	4.21325
0.515	4.20340
0.520	4.19407
0.525	4.18520
0.530	4.17671
0.535	4.16856
0.540	4.16071
0.545	4.15313
0.550	4.14577
0.555	4.13863
0.560	4.13167
0.565	4.12490
0.570	4.11828
0.575	4.11181
0.580	4.10547
0.585	4.09927
0.590	4.09319
0.595	4.08722
0.600	4.08137
0.605	4.07562
0.610	4.06997
0.615	4.06442
0.620	4.05896
0.625	4.05360
0.630	4.04832
0.635	4.04314
0.640	4.03804
0.645	4.03302
0.650	4.02809
0.655	4.02324
0.660	4.01846
0.665	4.01377
0.670	4.00916
0.675	4.00462
0.680	4.00016
0.685	3.99578
0.690	3.99147
0.695	3.98724
0.700	3.98308
0.705	3.97899
0.710	3.97497
0.715	3.97103
0.720	3.96715
0.725	3.96334
0.730	3.95960
0.735	3.95593
0.740	3.95232
0.745	3.94878
0.750	3.94529
0.755	3.94187
0.760	3.93851
0.765	3.93521
0.770	3.93196
0.775	3.92877
0.780	3.92563
0.785	3.92253
0.790	3.91949
0.795	3.91648
0.800	3.91352
0.805	3.91060
0.810	3.90771
0.815	3.90485
0.820	3.90201
0.825	3.89919
0.830	3.89639
0.835	3.89360
0.840	3.89081
0.845	3.88801
0.850	3.88520
0.855	3.88237
0.860	3.87951
0.865	3.87659
0.870	3.87362
0.875	3.87058
0.880	3.86744
0.885	3.86418
0.890	3.86079
0.895	3.85722
0.900	3.85346
0.905	3.84945
0.910	3.84514
0.915	3.84048
0.920	3.83540
0.925	3.82978
0.930	3.82352
0.935	3.81647
0.940	3.80842
0.945	3.79911
0.950	3.78816
0.955	3.77507
0.960	3.75909
0.965	3.73910
0.970	3.71331
0.975	3.67873
0.980	3.62990
0.985	3.55570
0.990	3.42943
0.995	3.16697
1.000	2.29199

