Time [s],Current [A],Terminal voltage [V],Loss of charge to sei [Ah]
0.0,8.315120854847686,3.8999999999999995,1.2139787036465845e-18
60.0,3.399601601651398,3.9,1.6573864706991173e-06
120.0,2.4243314582034534,3.9,3.314270814456103e-06
180.00000000000003,1.8974153918023502,3.9000000000000066,4.9706534873724675e-06
240.0,1.538302937409271,3.9,6.626534944850472e-06
300.0,1.2720329948642204,3.9,8.281915641627112e-06
360.00000000000006,1.0653538111265972,3.9000000000000004,9.936796002800098e-06
420.00000000000006,0.8999251674292901,3.899999999999999,1.1591176539601356e-05
480.0,0.7646604034853631,3.900000000000001,1.324505767573373e-05
540.0000000000001,0.6524131329574091,3.900000000000004,1.4898439863193061e-05
600.0,0.5583157762790223,3.9,1.6551323553278355e-05
660.0,0.47888147949308546,3.9,1.820370911761399e-05
720.0000000000001,0.4114971517460535,3.9,1.9855597164190844e-05
780.0,0.354130506642365,3.899999999999999,2.1506988063323414e-05
840.0000000000001,0.3051665849031734,3.900000000000005,2.3157882263342535e-05
900.0,0.26328592429848485,3.9,2.480828021237994e-05
960.0,0.22740285852490671,3.9,2.645818211221711e-05
1020.0000000000001,0.19661378066066515,3.9,2.8107588899640126e-05
1080.0000000000002,0.17015975159726726,3.8999999999999995,2.975650077646324e-05
1140.0,0.14739995765859004,3.9,3.140491818715562e-05
1200.0,0.12779665370882382,3.9,3.305284157631632e-05
1260.0,0.11089348272283614,3.8999999999999995,3.470027103528754e-05
1320.0,0.09630368776308995,3.9000000000000012,3.634720771136048e-05
1380.0000000000002,0.08369796926034158,3.8999999999999986,3.7993651696727115e-05
1440.0000000000002,0.07279540102296872,3.9000000000000004,3.963960343231786e-05
1500.0,0.06335560413009544,3.9,4.12850633592246e-05
1560.0,0.05517900256598847,3.9,4.293002976641597e-05
1620.0,0.04808120284879542,3.9000000000000004,4.4574507409329414e-05
1680.0000000000002,0.04192377409844348,3.9,4.621849455466799e-05
1740.0000000000002,0.03657567594012491,3.9,4.786199164676733e-05
1800.0,0.03192631653182113,3.9,4.9504999126968164e-05
1860.0,0.027882036334920857,3.9,5.114751646124249e-05
1920.0,0.02436023169441744,3.9,5.2789546035822046e-05
1980.0000000000002,0.021293744156339785,3.9000000000000004,5.4431087297281865e-05
2040.0000000000002,0.018620248681982636,3.900000000000001,5.607214069643294e-05
2100.0,0.016288180175628112,3.9,5.771270666603561e-05
2160.0000000000005,0.014253521343641887,3.9,5.9352785635914814e-05
2220.0000000000005,0.012477370491902194,3.9,6.099237804409107e-05
2280.0,0.01092644853071997,3.8999999999999995,6.263148431256522e-05
2340.0,0.009571322285277623,3.9000000000000004,6.427010488247043e-05
2400.0,0.008386514571038471,3.9,6.59082401851139e-05
2460.0,0.007350719888406965,3.9,6.754588669754401e-05
2520.0,0.00644246229801167,3.9,6.918305286837997e-05
2580.0,0.005647371101140256,3.9,7.08197349962068e-05
2640.0,0.004951797303011976,3.9,7.24559335531566e-05
2700.0,0.004343259976563384,3.9,7.409164896777234e-05
2760.0000000000005,0.003812524123552137,3.9,7.572686238049548e-05
2820.0000000000005,0.003344462282193659,3.9,7.736161279708572e-05
2880.0000000000005,0.0029339739186071624,3.9,7.89958814193815e-05
2940.0,0.0025742930169397747,3.9,8.062966865105502e-05
3000.0,0.0022590918389529574,3.9,8.226297488374551e-05
3060.0,0.001983594796845559,3.8999999999999995,8.389578441821361e-05
3120.0,0.0017404899261085763,3.9,8.552813037280596e-05
3180.0,0.0015270746648945255,3.9,8.71599962230411e-05
3240.0,0.0013398556229620052,3.9,8.879138276247506e-05
3300.0,0.0011756732777350534,3.9,9.042229040582239e-05
3360.0000000000005,0.0010332136826491747,3.9,9.205267115996467e-05
3420.0000000000005,0.0009071923927744437,3.9,9.368259425287753e-05
3480.0000000000005,0.0007954919755624834,3.9,9.531206812655431e-05
3540.0,0.0006971142705962002,3.9,9.694106410938804e-05
3600.0,0.0006108582150596153,3.9,9.856958372162965e-05
3660.0,0.0005362532066526004,3.9,0.00010019757513127843
3720.0,0.0004698694710958032,3.9,0.00010182513042826168
3780.0,0.00041120871691422567,3.9,0.00010345222417908335
3840.0,0.00035952418619997873,3.9,0.00010507884079380222
3900.0,0.00031421886866512893,3.9,0.00010670498292917792
3960.0000000000005,0.0002750327388140145,3.9,0.00010833059907797329
4020.0000000000005,0.00024014987065134116,3.9,0.00010995578101963208
4080.0000000000005,0.00020930179448452202,3.9,0.00011158049850612433
4140.0,0.0001818971661788946,3.9,0.00011320474431310405
4200.0,0.00015785740417441116,3.9,0.00011482851960221047
4260.0,0.00013743800033472528,3.9,0.0001164517399417589
4320.000000000001,0.00011960898860943413,3.9,0.00011807444765906648
4380.0,0.00010351944442166445,3.9,0.00011969676337658804
4440.000000000001,8.918849341774793e-05,3.9,0.00012131864814738721
4500.0,7.656377135858724e-05,3.9,0.0001229400676857202
4560.0,6.572671682134092e-05,3.9,0.00012456093361122534
4620.0,5.626227023188951e-05,3.9,0.00012618128914109654
4680.0,4.771986608394789e-05,3.9,0.00012780125437275865
4740.0,4.0109845595631376e-05,3.9,0.00012942079052752294
4800.0,3.340468640802538e-05,3.9,0.00013103986346738812
4860.000000000001,2.7647872310397145e-05,3.9,0.00013265838519395756
4920.0,2.2764167738908088e-05,3.9,0.0001342762762569115
4980.000000000001,1.8432426041379793e-05,3.9,0.00013589370057395634
5040.0,1.459027344825068e-05,3.9,0.00013751065854851412
5100.000000000001,1.1038375095000308e-05,3.9,0.00013912731966941796
5160.0,7.912329939654834e-06,3.9,0.00014074350752240673
5220.0,5.26030176176007e-06,3.9,0.00014235906743483985
5280.0,2.9079997706728255e-06,3.9,0.000143974162615204
5340.0,8.215919556939092e-07,3.9,0.00014558879346403925
5400.0,-1.107165938319666e-06,3.9,0.00014720312873872497
5460.0,-2.804603067300158e-06,3.9,0.00014881699278455616
5520.000000000001,-4.244508529438219e-06,3.9,0.00015043023159334894
5580.0,-5.39601582061262e-06,3.9,0.0001520425568551547
5640.000000000001,-6.533209623633677e-06,3.9,0.00015365483662998207
5700.0,-7.563722008879593e-06,3.9,0.0001552667386826209
5760.000000000001,-8.500969193296394e-06,3.9,0.00015687828908809545
5820.0,-9.29578526198508e-06,3.9,0.00015848921694050497
5880.0,-9.931071855469593e-06,3.9,0.00016009923516319878
5940.0,-1.0558440824807817e-05,3.9,0.00016170920809395204
6000.0,-1.112679348067492e-05,3.9,0.00016331880492097617
6060.0,-1.1643550012018432e-05,3.9,0.00016492805160700483
6120.0,-1.2081505389796581e-05,3.9,0.00016653667840475734
6180.000000000001,-1.2431188377940671e-05,3.9,0.00016814439946215003
