# UDDS profile from SLIDE https://github.com/davidhowey/SLIDE/blob/master/Current%20Profile%20drive%20cycle%20UDDS.csv	
# with a maximum current of 0.81A	
# Time [s]	 Current [A]
0	-0.0030392
1	-0.0030392
2	-0.0030392
3	-0.0030392
4	-0.0030392
5	-0.0030392
6	-0.0030392
7	-0.0030392
8	-0.0030392
9	-0.0030392
10	-0.0030392
11	-0.0030392
12	-0.0030392
13	-0.0030392
14	-0.0030392
15	-0.0030392
16	-0.0030392
17	-0.0030392
18	-0.0030392
19	-0.0030392
20	-0.0030392
21	-0.03823
22	-0.11017
23	-0.1665
24	-0.24526
25	-0.30432
26	-0.34383
27	-0.087647
28	-0.1452
29	-0.42781
30	-0.20705
31	-0.1647
32	-0.064251
33	0.014223
34	0.037147
35	0.036196
36	0.024336
37	0.034419
38	0.24679
39	0.15457
40	-0.030511
41	-0.065534
42	-0.066836
43	-0.092799
44	-0.17388
45	-0.31551
46	-0.35063
47	-0.31505
48	-0.082876
49	-0.012776
50	-0.030059
51	0.11905
52	0.21659
53	0.15575
54	0.089464
55	-0.032348
56	-0.27903
57	-0.34132
58	-0.32937
59	-0.32237
60	-0.23216
61	-0.12673
62	-0.10965
63	-0.072262
64	0.015334
65	-0.033218
66	-0.090025
67	-0.071607
68	-0.033563
69	-0.033391
70	-0.052211
71	-0.14833
72	-0.15151
73	-0.074571
74	0.0020392
75	0.028835
76	-0.072262
77	-0.13119
78	-0.17349
79	-0.055755
80	0.0019866
81	-0.13512
82	-0.17852
83	-0.22523
84	-0.29827
85	-0.21935
86	-0.17884
87	-0.13548
88	-0.13703
89	-0.13858
90	-0.068596
91	-0.021285
92	-0.044478
93	-0.044267
94	-0.090906
95	-0.16235
96	0.016859
97	0.032817
98	0.016728
99	-0.13394
100	-0.18217
101	-0.16176
102	-0.11622
103	-0.093103
104	-0.045544
105	0.033149
106	0.048776
107	-0.089095
108	-0.136
109	-0.18485
110	-0.18822
111	-0.21615
112	-0.17077
113	-0.12296
114	-0.023701
115	0.03395
116	0.44929
117	0.43138
118	0.37936
119	0.32689
120	0.27403
121	0.22084
122	0.16737
123	0.1137
124	0.059869
125	0.0085033
126	-0.0030392
127	-0.0030392
128	-0.0030392
129	-0.0030392
130	-0.0030392
131	-0.0030392
132	-0.0030392
133	-0.0030392
134	-0.0030392
135	-0.0030392
136	-0.0030392
137	-0.0030392
138	-0.0030392
139	-0.0030392
140	-0.0030392
141	-0.0030392
142	-0.0030392
143	-0.0030392
144	-0.0030392
145	-0.0030392
146	-0.0030392
147	-0.0030392
148	-0.0030392
149	-0.0030392
150	-0.0030392
151	-0.0030392
152	-0.0030392
153	-0.0030392
154	-0.0030392
155	-0.0030392
156	-0.0030392
157	-0.0030392
158	-0.0030392
159	-0.0030392
160	-0.0030392
161	-0.0030392
162	-0.0030392
163	-0.0030392
164	-0.047836
165	-0.13745
166	-0.22717
167	-0.31708
168	-0.40726
169	-0.49781
170	-0.43107
171	-0.4242
172	-0.34213
173	-0.17636
174	0.057323
175	0.042559
176	0.015373
177	-0.11013
178	-0.092045
179	-0.092857
180	-0.13343
181	-0.34217
182	0.058854
183	0.2973
184	0.12641
185	0.33805
186	0.14032
187	0.020697
188	-0.15836
189	-0.10826
190	-0.24753
191	-0.4007
192	-0.46195
193	-0.61285
194	-0.77414
195	-0.81
196	-0.80412
